DriverNumber,RoundNumber,Position
1,1,3.0
4,1,1.0
5,1,15.0
6,1,11.0
7,1,14.0
10,1,9.0
12,1,16.0
14,1,12.0
16,1,7.0
18,1,13.0
22,1,5.0
23,1,6.0
27,1,17.0
30,1,18.0
31,1,19.0
44,1,8.0
55,1,10.0
63,1,4.0
81,1,2.0
87,1,20.0
1,2,4.0
4,2,3.0
5,2,19.0
6,2,7.0
7,2,18.0
10,2,16.0
12,2,8.0
14,2,13.0
16,2,6.0
18,2,14.0
22,2,9.0
23,2,10.0
27,2,12.0
30,2,20.0
31,2,11.0
44,2,5.0
55,2,15.0
63,2,2.0
81,2,1.0
87,2,17.0
1,3,1.0
4,3,2.0
5,3,17.0
6,3,7.0
7,3,19.0
10,3,11.0
12,3,6.0
14,3,13.0
16,3,4.0
18,3,20.0
22,3,15.0
23,3,9.0
27,3,16.0
30,3,14.0
31,3,18.0
44,3,8.0
55,3,12.0
63,3,5.0
81,3,3.0
87,3,10.0
1,4,7.0
4,4,6.0
5,4,18.0
6,4,12.0
7,4,11.0
10,4,5.0
12,4,4.0
14,4,13.0
16,4,3.0
18,4,19.0
22,4,10.0
23,4,15.0
27,4,16.0
30,4,17.0
31,4,14.0
44,4,9.0
55,4,8.0
63,4,2.0
81,4,1.0
87,4,20.0
1,5,1.0
4,5,10.0
5,5,20.0
6,5,14.0
7,5,17.0
10,5,9.0
12,5,5.0
14,5,13.0
16,5,4.0
18,5,16.0
22,5,8.0
23,5,11.0
27,5,18.0
30,5,12.0
31,5,19.0
44,5,7.0
55,5,6.0
63,5,3.0
81,5,2.0
87,5,15.0
1,6,1.0
4,6,2.0
5,6,13.0
6,6,11.0
7,6,14.0
10,6,18.0
12,6,3.0
14,6,17.0
16,6,8.0
18,6,19.0
22,6,10.0
23,6,7.0
27,6,16.0
30,6,15.0
31,6,9.0
44,6,12.0
55,6,6.0
63,6,5.0
81,6,4.0
87,6,20.0
1,7,2.0
4,7,4.0
5,7,14.0
6,7,9.0
10,7,10.0
12,7,13.0
14,7,5.0
16,7,11.0
18,7,8.0
22,7,20.0
23,7,7.0
27,7,17.0
30,7,16.0
31,7,18.0
43,7,15.0
44,7,12.0
55,7,6.0
63,7,3.0
81,7,1.0
87,7,19.0
1,8,5.0
4,8,1.0
5,8,16.0
6,8,6.0
10,8,18.0
12,8,15.0
14,8,7.0
16,8,2.0
18,8,19.0
22,8,12.0
23,8,10.0
27,8,13.0
30,8,9.0
31,8,8.0
43,8,20.0
44,8,4.0
55,8,11.0
63,8,14.0
81,8,3.0
87,8,17.0
1,9,3.0
4,9,2.0
5,9,12.0
6,9,9.0
10,9,8.0
12,9,6.0
14,9,10.0
16,9,7.0
18,9,14.0
22,9,20.0
23,9,11.0
27,9,16.0
30,9,13.0
31,9,17.0
43,9,19.0
44,9,5.0
55,9,18.0
63,9,4.0
81,9,1.0
87,9,15.0
1,10,2.0
4,10,7.0
5,10,16.0
6,10,9.0
10,10,20.0
12,10,4.0
14,10,6.0
16,10,8.0
18,10,18.0
22,10,11.0
23,10,10.0
27,10,13.0
30,10,19.0
31,10,15.0
43,10,12.0
44,10,5.0
55,10,17.0
63,10,1.0
81,10,3.0
87,10,14.0
1,11,7.0
4,11,1.0
5,11,8.0
6,11,13.0
10,11,10.0
12,11,9.0
14,11,11.0
16,11,2.0
18,11,16.0
22,11,18.0
23,11,12.0
27,11,20.0
30,11,6.0
31,11,17.0
43,11,14.0
44,11,4.0
55,11,19.0
63,11,5.0
81,11,3.0
87,11,15.0
1,12,1.0
4,12,3.0
5,12,17.0
6,12,13.0
10,12,10.0
12,12,7.0
14,12,9.0
16,12,6.0
18,12,18.0
22,12,12.0
23,12,14.0
27,12,19.0
30,12,16.0
31,12,15.0
43,12,20.0
44,12,5.0
55,12,11.0
63,12,4.0
81,12,2.0
87,12,8.0
1,13,4.0
4,13,1.0
5,13,10.0
6,13,8.0
10,13,13.0
12,13,18.0
14,13,19.0
16,13,3.0
18,13,20.0
22,13,7.0
23,13,5.0
27,13,14.0
30,13,9.0
31,13,11.0
43,13,17.0
44,13,16.0
55,13,15.0
63,13,6.0
81,13,2.0
87,13,12.0
1,14,8.0
4,14,3.0
5,14,7.0
6,14,10.0
10,14,17.0
12,14,15.0
14,14,5.0
16,14,1.0
18,14,6.0
22,14,16.0
23,14,20.0
27,14,19.0
30,14,9.0
31,14,18.0
43,14,14.0
44,14,12.0
55,14,13.0
63,14,4.0
81,14,2.0
87,14,11.0
1,15,3.0
4,15,2.0
5,15,13.0
6,15,4.0
10,15,14.0
12,15,11.0
14,15,10.0
16,15,6.0
18,15,20.0
22,15,12.0
23,15,15.0
27,15,17.0
30,15,8.0
31,15,18.0
43,15,16.0
44,15,7.0
55,15,9.0
63,15,5.0
81,15,1.0
87,15,19.0
1,16,1.0
4,16,2.0
5,16,8.0
6,16,16.0
10,16,19.0
12,16,7.0
14,16,9.0
16,16,4.0
18,16,17.0
22,16,10.0
23,16,14.0
27,16,12.0
30,16,20.0
31,16,15.0
43,16,18.0
44,16,5.0
55,16,13.0
63,16,6.0
81,16,3.0
87,16,11.0
1,17,1.0
4,17,7.0
5,17,13.0
6,17,8.0
10,17,18.0
12,17,4.0
14,17,11.0
16,17,10.0
18,17,14.0
22,17,6.0
23,17,19.0
27,17,17.0
30,17,3.0
31,17,20.0
43,17,16.0
44,17,12.0
55,17,2.0
63,17,5.0
81,17,9.0
87,17,15.0
1,18,2.0
4,18,5.0
5,18,14.0
6,18,8.0
10,18,18.0
12,18,4.0
14,18,10.0
16,18,7.0
18,18,15.0
22,18,13.0
23,18,19.0
27,18,11.0
30,18,12.0
31,18,17.0
43,18,16.0
44,18,6.0
55,18,20.0
63,18,1.0
81,18,3.0
87,18,9.0
1,19,1.0
4,19,2.0
5,19,16.0
6,19,20.0
10,19,14.0
12,19,7.0
14,19,10.0
16,19,3.0
18,19,18.0
22,19,13.0
23,19,19.0
27,19,11.0
30,19,12.0
31,19,17.0
43,19,15.0
44,19,5.0
55,19,9.0
63,19,4.0
81,19,6.0
87,19,8.0
1,20,5.0
4,20,1.0
5,20,16.0
6,20,9.0
10,20,18.0
12,20,6.0
14,20,14.0
16,20,2.0
18,20,19.0
22,20,11.0
23,20,17.0
27,20,13.0
30,20,15.0
31,20,12.0
43,20,20.0
44,20,3.0
55,20,7.0
63,20,4.0
81,20,8.0
87,20,10.0
1,21,16.0
4,21,1.0
5,21,20.0
6,21,5.0
10,21,9.0
12,21,2.0
14,21,11.0
16,21,3.0
18,21,14.0
22,21,19.0
23,21,12.0
27,21,10.0
30,21,7.0
31,21,17.0
43,21,18.0
44,21,13.0
55,21,15.0
63,21,6.0
81,21,4.0
87,21,8.0
1,22,2.0
4,22,1.0
5,22,18.0
6,22,8.0
10,22,10.0
12,22,17.0
14,22,7.0
16,22,9.0
18,22,12.0
22,22,19.0
23,22,16.0
27,22,11.0
30,22,6.0
31,22,13.0
43,22,15.0
44,22,20.0
55,22,3.0
63,22,4.0
81,22,5.0
87,22,14.0
1,23,3.0
4,23,2.0
5,23,14.0
6,23,6.0
10,23,9.0
12,23,5.0
14,23,8.0
16,23,10.0
18,23,19.0
22,23,16.0
23,23,15.0
27,23,11.0
30,23,12.0
31,23,17.0
43,23,20.0
44,23,18.0
55,23,7.0
63,23,4.0
81,23,1.0
87,23,13.0
1,24,1.0
4,24,2.0
5,24,7.0
6,24,9.0
10,24,19.0
12,24,14.0
14,24,6.0
16,24,5.0
18,24,15.0
22,24,10.0
23,24,17.0
27,24,18.0
30,24,13.0
31,24,8.0
43,24,20.0
44,24,16.0
55,24,12.0
63,24,4.0
81,24,3.0
87,24,11.0
