,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime
0,1,2022,1,Red Bull Racing,19.0,2.0,90.681
1,3,2022,1,McLaren,14.0,18.0,92.945
2,4,2022,1,McLaren,15.0,13.0,92.008
3,6,2022,1,Williams,16.0,20.0,93.634
4,10,2022,1,AlphaTauri,20.0,10.0,91.635
5,11,2022,1,Red Bull Racing,18.0,4.0,90.921
6,14,2022,1,Alpine,9.0,8.0,91.621
7,16,2022,1,Ferrari,1.0,1.0,90.558
8,18,2022,1,Aston Martin,12.0,19.0,93.032
9,20,2022,1,Haas F1 Team,5.0,7.0,91.461
10,22,2022,1,AlphaTauri,8.0,16.0,92.75
11,23,2022,1,Williams,13.0,14.0,92.664
12,24,2022,1,Alfa Romeo,10.0,15.0,92.493
13,27,2022,1,Aston Martin,17.0,17.0,92.777
14,31,2022,1,Alpine,7.0,11.0,91.782
15,44,2022,1,Mercedes,3.0,5.0,91.048
16,47,2022,1,Haas F1 Team,11.0,12.0,91.998
17,55,2022,1,Ferrari,2.0,3.0,90.687
18,63,2022,1,Mercedes,4.0,9.0,91.252
19,77,2022,1,Alfa Romeo,6.0,6.0,91.56
20,1,2022,2,Red Bull Racing,1.0,4.0,88.461
21,3,2022,2,McLaren,20.0,12.0,89.773
22,4,2022,2,McLaren,7.0,11.0,89.651
23,6,2022,2,Williams,20.0,19.0,91.817
24,10,2022,2,AlphaTauri,8.0,9.0,89.254
25,11,2022,2,Red Bull Racing,4.0,1.0,88.2
26,14,2022,2,Alpine,20.0,7.0,89.147
27,16,2022,2,Ferrari,2.0,2.0,88.225
28,18,2022,2,Aston Martin,13.0,15.0,90.256
29,20,2022,2,Haas F1 Team,9.0,10.0,89.546
30,22,2022,2,AlphaTauri,20.0,20.0,
31,23,2022,2,Williams,14.0,17.0,90.492
32,24,2022,2,Alfa Romeo,11.0,13.0,89.819
33,27,2022,2,Aston Martin,12.0,18.0,90.543
34,31,2022,2,Alpine,6.0,5.0,89.068
35,44,2022,2,Mercedes,10.0,16.0,90.343
36,47,2022,2,Haas F1 Team,20.0,14.0,89.92
37,55,2022,2,Ferrari,3.0,3.0,88.402
38,63,2022,2,Mercedes,5.0,6.0,89.104
39,77,2022,2,Alfa Romeo,20.0,8.0,89.183
40,1,2022,3,Red Bull Racing,20.0,2.0,78.154
41,3,2022,3,McLaren,6.0,7.0,79.032
42,4,2022,3,McLaren,5.0,4.0,78.703
43,5,2022,3,Aston Martin,20.0,18.0,81.149
44,6,2022,3,Williams,16.0,19.0,81.372
45,10,2022,3,AlphaTauri,9.0,11.0,79.226
46,11,2022,3,Red Bull Racing,2.0,3.0,78.24
47,14,2022,3,Alpine,17.0,10.0,78.815
48,16,2022,3,Ferrari,1.0,1.0,77.868
49,18,2022,3,Aston Martin,12.0,20.0,
50,20,2022,3,Haas F1 Team,14.0,17.0,80.254
51,22,2022,3,AlphaTauri,15.0,13.0,79.424
52,23,2022,3,Williams,10.0,16.0,80.135
53,24,2022,3,Alfa Romeo,11.0,14.0,79.91
54,31,2022,3,Alpine,7.0,8.0,79.061
55,44,2022,3,Mercedes,4.0,5.0,78.825
56,47,2022,3,Haas F1 Team,13.0,15.0,80.104
57,55,2022,3,Ferrari,20.0,9.0,78.469
58,63,2022,3,Mercedes,3.0,6.0,78.933
59,77,2022,3,Alfa Romeo,8.0,12.0,79.251
60,1,2022,4,Red Bull Racing,1.0,1.0,78.793
61,3,2022,4,McLaren,18.0,6.0,79.98
62,4,2022,4,McLaren,3.0,3.0,79.294
63,5,2022,4,Aston Martin,8.0,9.0,79.957
64,6,2022,4,Williams,16.0,18.0,81.971
65,10,2022,4,AlphaTauri,12.0,17.0,80.732
66,11,2022,4,Red Bull Racing,2.0,7.0,79.296
67,14,2022,4,Alpine,20.0,5.0,79.595
68,16,2022,4,Ferrari,6.0,2.0,78.796
69,18,2022,4,Aston Martin,10.0,15.0,80.342
70,20,2022,4,Haas F1 Team,9.0,4.0,79.902
71,22,2022,4,AlphaTauri,7.0,16.0,80.474
72,23,2022,4,Williams,11.0,20.0,
73,24,2022,4,Alfa Romeo,15.0,14.0,79.73
74,31,2022,4,Alpine,14.0,19.0,82.338
75,44,2022,4,Mercedes,13.0,13.0,80.47
76,47,2022,4,Haas F1 Team,17.0,12.0,80.422
77,55,2022,4,Ferrari,20.0,10.0,78.99
78,63,2022,4,Mercedes,4.0,11.0,80.383
79,77,2022,4,Alfa Romeo,5.0,8.0,80.192
80,1,2022,5,Red Bull Racing,1.0,3.0,88.991
81,3,2022,5,McLaren,13.0,14.0,90.31
82,4,2022,5,McLaren,20.0,8.0,89.634
83,5,2022,5,Aston Martin,17.0,13.0,90.214
84,6,2022,5,Williams,14.0,19.0,91.325
85,10,2022,5,AlphaTauri,20.0,7.0,89.69
86,11,2022,5,Red Bull Racing,4.0,4.0,89.036
87,14,2022,5,Alpine,11.0,11.0,90.16
88,16,2022,5,Ferrari,2.0,1.0,88.796
89,18,2022,5,Aston Martin,10.0,10.0,89.996
90,20,2022,5,Haas F1 Team,16.0,16.0,90.975
91,22,2022,5,AlphaTauri,12.0,9.0,89.932
92,23,2022,5,Williams,9.0,18.0,91.266
93,24,2022,5,Alfa Romeo,20.0,17.0,91.02
94,31,2022,5,Alpine,8.0,20.0,
95,44,2022,5,Mercedes,6.0,6.0,89.625
96,47,2022,5,Haas F1 Team,15.0,15.0,90.423
97,55,2022,5,Ferrari,3.0,2.0,88.986
98,63,2022,5,Mercedes,5.0,12.0,90.173
99,77,2022,5,Alfa Romeo,7.0,5.0,89.475
100,1,2022,6,Red Bull Racing,1.0,2.0,79.073
101,3,2022,6,McLaren,12.0,9.0,80.287
102,4,2022,6,McLaren,8.0,11.0,80.471
103,5,2022,6,Aston Martin,11.0,16.0,80.954
104,6,2022,6,Williams,16.0,20.0,81.915
105,10,2022,6,AlphaTauri,13.0,14.0,80.719
106,11,2022,6,Red Bull Racing,2.0,5.0,79.42
107,14,2022,6,Alpine,9.0,17.0,81.043
108,16,2022,6,Ferrari,20.0,1.0,78.75
109,18,2022,6,Aston Martin,15.0,18.0,81.418
110,20,2022,6,Haas F1 Team,17.0,8.0,79.682
111,22,2022,6,AlphaTauri,10.0,13.0,80.639
112,23,2022,6,Williams,18.0,19.0,81.645
113,24,2022,6,Alfa Romeo,20.0,15.0,80.476
114,31,2022,6,Alpine,7.0,12.0,80.638
115,44,2022,6,Mercedes,5.0,6.0,79.512
116,47,2022,6,Haas F1 Team,14.0,10.0,80.368
117,55,2022,6,Ferrari,4.0,3.0,79.166
118,63,2022,6,Mercedes,3.0,4.0,79.393
119,77,2022,6,Alfa Romeo,6.0,7.0,79.608
120,1,2022,7,Red Bull Racing,3.0,4.0,71.666
121,3,2022,7,McLaren,13.0,14.0,72.964
122,4,2022,7,McLaren,6.0,5.0,71.849
123,5,2022,7,Aston Martin,10.0,9.0,72.613
124,6,2022,7,Williams,15.0,19.0,74.403
125,10,2022,7,AlphaTauri,11.0,17.0,73.66
126,11,2022,7,Red Bull Racing,1.0,3.0,71.629
127,14,2022,7,Alpine,7.0,7.0,72.247
128,16,2022,7,Ferrari,4.0,1.0,71.376
129,18,2022,7,Aston Martin,14.0,18.0,73.678
130,20,2022,7,Haas F1 Team,20.0,13.0,72.921
131,22,2022,7,AlphaTauri,17.0,11.0,72.797
132,23,2022,7,Williams,20.0,16.0,73.611
133,24,2022,7,Alfa Romeo,16.0,20.0,75.606
134,31,2022,7,Alpine,12.0,10.0,72.528
135,44,2022,7,Mercedes,8.0,8.0,72.56
136,47,2022,7,Haas F1 Team,20.0,15.0,73.081
137,55,2022,7,Ferrari,2.0,2.0,71.601
138,63,2022,7,Mercedes,5.0,6.0,72.112
139,77,2022,7,Alfa Romeo,9.0,12.0,72.909
140,1,2022,8,Red Bull Racing,1.0,3.0,101.706
141,3,2022,8,McLaren,8.0,12.0,103.574
142,4,2022,8,McLaren,9.0,11.0,103.398
143,5,2022,8,Aston Martin,6.0,9.0,103.091
144,6,2022,8,Williams,15.0,18.0,105.367
145,10,2022,8,AlphaTauri,5.0,6.0,102.845
146,11,2022,8,Red Bull Racing,2.0,2.0,101.641
147,14,2022,8,Alpine,7.0,10.0,103.173
148,16,2022,8,Ferrari,20.0,1.0,101.359
149,18,2022,8,Aston Martin,16.0,19.0,105.371
150,20,2022,8,Haas F1 Team,20.0,16.0,104.643
151,22,2022,8,AlphaTauri,13.0,8.0,103.056
152,23,2022,8,Williams,12.0,17.0,104.719
153,24,2022,8,Alfa Romeo,20.0,14.0,103.777
154,31,2022,8,Alpine,10.0,13.0,103.585
155,44,2022,8,Mercedes,4.0,7.0,102.924
156,47,2022,8,Haas F1 Team,14.0,20.0,105.775
157,55,2022,8,Ferrari,20.0,4.0,101.814
158,63,2022,8,Mercedes,3.0,5.0,102.712
159,77,2022,8,Alfa Romeo,11.0,15.0,104.444
160,1,2022,9,Red Bull Racing,1.0,1.0,81.299
161,3,2022,9,McLaren,11.0,9.0,83.749
162,4,2022,9,McLaren,15.0,14.0,94.066
163,5,2022,9,Aston Martin,12.0,17.0,94.512
164,6,2022,9,Williams,16.0,19.0,95.66
165,10,2022,9,AlphaTauri,14.0,16.0,94.492
166,11,2022,9,Red Bull Racing,20.0,13.0,93.127
167,14,2022,9,Alpine,9.0,2.0,81.944
168,16,2022,9,Ferrari,5.0,15.0,93.008
169,18,2022,9,Aston Martin,10.0,18.0,95.532
170,20,2022,9,Haas F1 Team,17.0,5.0,82.96
171,22,2022,9,AlphaTauri,20.0,20.0,96.575
172,23,2022,9,Williams,13.0,12.0,86.858
173,24,2022,9,Alfa Romeo,8.0,10.0,84.03
174,31,2022,9,Alpine,6.0,7.0,83.529
175,44,2022,9,Mercedes,3.0,4.0,82.891
176,47,2022,9,Haas F1 Team,20.0,6.0,83.356
177,55,2022,9,Ferrari,2.0,3.0,82.096
178,63,2022,9,Mercedes,4.0,8.0,83.557
179,77,2022,9,Alfa Romeo,7.0,11.0,86.788
180,1,2022,10,Red Bull Racing,7.0,2.0,99.129
181,3,2022,10,McLaren,13.0,14.0,101.933
182,4,2022,10,McLaren,6.0,6.0,101.515
183,5,2022,10,Aston Martin,9.0,18.0,102.666
184,6,2022,10,Williams,12.0,10.0,101.998
185,10,2022,10,AlphaTauri,20.0,11.0,101.68
186,11,2022,10,Red Bull Racing,2.0,4.0,100.521
187,14,2022,10,Alpine,5.0,7.0,101.598
188,16,2022,10,Ferrari,4.0,3.0,99.846
189,18,2022,10,Aston Martin,11.0,20.0,103.43
190,20,2022,10,Haas F1 Team,10.0,17.0,102.159
191,22,2022,10,AlphaTauri,14.0,13.0,101.893
192,23,2022,10,Williams,20.0,16.0,102.078
193,24,2022,10,Alfa Romeo,20.0,9.0,100.791
194,31,2022,10,Alpine,20.0,15.0,101.73
195,44,2022,10,Mercedes,3.0,5.0,100.428
196,47,2022,10,Haas F1 Team,8.0,19.0,102.708
197,55,2022,10,Ferrari,1.0,1.0,100.19
198,63,2022,10,Mercedes,20.0,8.0,100.028
199,77,2022,10,Alfa Romeo,20.0,12.0,101.396
200,1,2022,11,Red Bull Racing,2.0,1.0,64.984
201,3,2022,11,McLaren,9.0,16.0,66.613
202,4,2022,11,McLaren,7.0,15.0,66.33
203,5,2022,11,Aston Martin,17.0,20.0,67.083
204,6,2022,11,Williams,20.0,19.0,67.003
205,10,2022,11,AlphaTauri,15.0,10.0,66.16
206,11,2022,11,Red Bull Racing,20.0,13.0,65.404
207,14,2022,11,Alpine,10.0,8.0,66.016
208,16,2022,11,Ferrari,1.0,2.0,65.013
209,18,2022,11,Aston Martin,13.0,17.0,66.847
210,20,2022,11,Haas F1 Team,8.0,6.0,65.879
211,22,2022,11,AlphaTauri,16.0,14.0,66.463
212,23,2022,11,Williams,12.0,11.0,66.23
213,24,2022,11,Alfa Romeo,14.0,18.0,66.901
214,31,2022,11,Alpine,5.0,5.0,65.726
215,44,2022,11,Mercedes,3.0,9.0,65.475
216,47,2022,11,Haas F1 Team,6.0,7.0,66.011
217,55,2022,11,Ferrari,20.0,3.0,65.066
218,63,2022,11,Mercedes,4.0,4.0,65.431
219,77,2022,11,Alfa Romeo,11.0,12.0,66.319
220,1,2022,12,Red Bull Racing,1.0,2.0,91.176
221,3,2022,12,McLaren,9.0,11.0,92.922
222,4,2022,12,McLaren,7.0,5.0,92.032
223,5,2022,12,Aston Martin,11.0,14.0,93.276
224,6,2022,12,Williams,20.0,20.0,93.794
225,10,2022,12,AlphaTauri,12.0,16.0,93.439
226,11,2022,12,Red Bull Racing,4.0,3.0,91.335
227,14,2022,12,Alpine,6.0,7.0,92.552
228,16,2022,12,Ferrari,20.0,1.0,90.872
229,18,2022,12,Aston Martin,10.0,17.0,93.439
230,20,2022,12,Haas F1 Team,20.0,10.0,92.649
231,22,2022,12,AlphaTauri,20.0,8.0,92.78
232,23,2022,12,Williams,13.0,15.0,93.307
233,24,2022,12,Alfa Romeo,16.0,18.0,93.674
234,31,2022,12,Alpine,8.0,12.0,93.048
235,44,2022,12,Mercedes,2.0,4.0,91.765
236,47,2022,12,Haas F1 Team,15.0,19.0,93.701
237,55,2022,12,Ferrari,5.0,9.0,91.081
238,63,2022,12,Mercedes,3.0,6.0,92.131
239,77,2022,12,Alfa Romeo,14.0,13.0,93.034
240,1,2022,13,Red Bull Racing,1.0,10.0,77.703
241,3,2022,13,McLaren,15.0,9.0,78.198
242,4,2022,13,McLaren,7.0,4.0,77.769
243,5,2022,13,Aston Martin,10.0,18.0,79.273
244,6,2022,13,Williams,18.0,20.0,79.57
245,10,2022,13,AlphaTauri,12.0,19.0,79.527
246,11,2022,13,Red Bull Racing,5.0,11.0,78.516
247,14,2022,13,Alpine,8.0,6.0,77.904
248,16,2022,13,Ferrari,6.0,3.0,77.567
249,18,2022,13,Aston Martin,11.0,14.0,79.137
250,20,2022,13,Haas F1 Team,16.0,13.0,78.825
251,22,2022,13,AlphaTauri,19.0,16.0,79.24
252,23,2022,13,Williams,17.0,17.0,79.256
253,24,2022,13,Alfa Romeo,13.0,12.0,78.573
254,31,2022,13,Alpine,9.0,5.0,78.018
255,44,2022,13,Mercedes,2.0,7.0,78.035
256,47,2022,13,Haas F1 Team,14.0,15.0,79.164
257,55,2022,13,Ferrari,4.0,2.0,77.421
258,63,2022,13,Mercedes,3.0,1.0,77.377
259,77,2022,13,Alfa Romeo,20.0,8.0,78.157
260,1,2022,14,Red Bull Racing,1.0,1.0,103.665
261,3,2022,14,McLaren,15.0,11.0,105.767
262,4,2022,14,McLaren,12.0,10.0,105.603
263,5,2022,14,Aston Martin,8.0,16.0,106.344
264,6,2022,14,Williams,18.0,17.0,106.401
265,10,2022,14,AlphaTauri,9.0,12.0,105.827
266,11,2022,14,Red Bull Racing,2.0,3.0,104.462
267,14,2022,14,Alpine,5.0,6.0,105.368
268,16,2022,14,Ferrari,6.0,4.0,104.551
269,18,2022,14,Aston Martin,11.0,14.0,106.256
270,20,2022,14,Haas F1 Team,16.0,18.0,106.557
271,22,2022,14,AlphaTauri,13.0,19.0,106.692
272,23,2022,14,Williams,10.0,9.0,105.672
273,24,2022,14,Alfa Romeo,14.0,13.0,106.085
274,31,2022,14,Alpine,7.0,5.0,105.18
275,44,2022,14,Mercedes,20.0,7.0,105.42
276,47,2022,14,Haas F1 Team,17.0,15.0,106.342
277,55,2022,14,Ferrari,3.0,2.0,104.297
278,63,2022,14,Mercedes,4.0,8.0,105.461
279,77,2022,14,Alfa Romeo,20.0,20.0,107.866
280,1,2022,15,Red Bull Racing,1.0,1.0,70.342
281,3,2022,15,McLaren,17.0,17.0,72.081
282,4,2022,15,McLaren,7.0,7.0,71.116
283,5,2022,15,Aston Martin,14.0,19.0,72.391
284,6,2022,15,Williams,18.0,20.0,73.353
285,10,2022,15,AlphaTauri,11.0,11.0,71.512
286,11,2022,15,Red Bull Racing,5.0,5.0,71.077
287,14,2022,15,Alpine,6.0,13.0,71.613
288,16,2022,15,Ferrari,3.0,2.0,70.363
289,18,2022,15,Aston Martin,10.0,10.0,71.416
290,20,2022,15,Haas F1 Team,15.0,18.0,72.319
291,22,2022,15,AlphaTauri,20.0,9.0,71.427
292,23,2022,15,Williams,12.0,15.0,71.695
293,24,2022,15,Alfa Romeo,16.0,14.0,71.704
294,31,2022,15,Alpine,9.0,12.0,71.605
295,44,2022,15,Mercedes,4.0,4.0,70.648
296,47,2022,15,Haas F1 Team,13.0,8.0,71.42
297,55,2022,15,Ferrari,8.0,3.0,70.434
298,63,2022,15,Mercedes,2.0,6.0,70.824
299,77,2022,15,Alfa Romeo,20.0,16.0,71.961
300,1,2022,16,Red Bull Racing,1.0,2.0,80.306
301,3,2022,16,McLaren,20.0,8.0,81.855
302,4,2022,16,McLaren,7.0,7.0,81.584
303,5,2022,16,Aston Martin,20.0,17.0,82.636
304,6,2022,16,Williams,15.0,16.0,82.587
305,10,2022,16,AlphaTauri,8.0,9.0,82.01
306,11,2022,16,Red Bull Racing,6.0,4.0,81.206
307,14,2022,16,Alpine,20.0,10.0,81.829
308,16,2022,16,Ferrari,2.0,1.0,80.161
309,18,2022,16,Aston Martin,20.0,18.0,82.748
310,20,2022,16,Haas F1 Team,16.0,19.0,82.908
311,22,2022,16,AlphaTauri,14.0,15.0,82.02
312,24,2022,16,Alfa Romeo,10.0,14.0,82.003
313,31,2022,16,Alpine,11.0,11.0,82.13
314,44,2022,16,Mercedes,5.0,5.0,81.524
315,45,2022,16,Williams,9.0,13.0,82.471
316,47,2022,16,Haas F1 Team,12.0,20.0,83.005
317,55,2022,16,Ferrari,4.0,3.0,80.429
318,63,2022,16,Mercedes,3.0,6.0,81.542
319,77,2022,16,Alfa Romeo,13.0,12.0,82.235
320,1,2022,17,Red Bull Racing,7.0,8.0,111.395
321,3,2022,17,McLaren,5.0,17.0,116.226
322,4,2022,17,McLaren,4.0,6.0,110.584
323,5,2022,17,Aston Martin,8.0,14.0,114.38
324,6,2022,17,Williams,20.0,20.0,117.532
325,10,2022,17,AlphaTauri,10.0,7.0,111.211
326,11,2022,17,Red Bull Racing,1.0,2.0,109.434
327,14,2022,17,Alpine,20.0,5.0,109.966
328,16,2022,17,Ferrari,2.0,1.0,109.412
329,18,2022,17,Aston Martin,6.0,12.0,114.211
330,20,2022,17,Haas F1 Team,12.0,9.0,111.573
331,22,2022,17,AlphaTauri,20.0,10.0,111.983
332,23,2022,17,Williams,20.0,19.0,116.985
333,24,2022,17,Alfa Romeo,20.0,15.0,115.375
334,31,2022,17,Alpine,20.0,18.0,116.337
335,44,2022,17,Mercedes,9.0,3.0,109.466
336,47,2022,17,Haas F1 Team,13.0,13.0,114.37
337,55,2022,17,Ferrari,3.0,4.0,109.583
338,63,2022,17,Mercedes,14.0,11.0,114.012
339,77,2022,17,Alfa Romeo,11.0,16.0,116.083
340,1,2022,18,Red Bull Racing,1.0,1.0,89.304
341,3,2022,18,McLaren,11.0,11.0,90.659
342,4,2022,18,McLaren,10.0,10.0,90.473
343,5,2022,18,Aston Martin,6.0,9.0,90.554
344,6,2022,18,Williams,9.0,20.0,91.511
345,10,2022,18,AlphaTauri,18.0,17.0,91.322
346,11,2022,18,Red Bull Racing,2.0,4.0,89.709
347,14,2022,18,Alpine,7.0,7.0,90.322
348,16,2022,18,Ferrari,3.0,2.0,89.314
349,18,2022,18,Aston Martin,12.0,19.0,91.419
350,20,2022,18,Haas F1 Team,14.0,18.0,91.352
351,22,2022,18,AlphaTauri,13.0,13.0,90.808
352,23,2022,18,Williams,20.0,16.0,91.311
353,24,2022,18,Alfa Romeo,16.0,14.0,90.894
354,31,2022,18,Alpine,4.0,5.0,90.165
355,44,2022,18,Mercedes,5.0,6.0,90.261
356,47,2022,18,Haas F1 Team,17.0,15.0,91.152
357,55,2022,18,Ferrari,20.0,3.0,89.361
358,63,2022,18,Mercedes,8.0,8.0,90.389
359,77,2022,18,Alfa Romeo,15.0,12.0,90.709
360,1,2022,19,Red Bull Racing,1.0,3.0,94.448
361,3,2022,19,McLaren,16.0,17.0,97.046
362,4,2022,19,McLaren,6.0,8.0,95.69
363,5,2022,19,Aston Martin,8.0,12.0,96.398
364,6,2022,19,Williams,17.0,20.0,97.244
365,10,2022,19,AlphaTauri,14.0,13.0,96.577
366,11,2022,19,Red Bull Racing,4.0,4.0,94.645
367,14,2022,19,Alpine,7.0,9.0,95.876
368,16,2022,19,Ferrari,3.0,2.0,94.421
369,18,2022,19,Aston Martin,20.0,7.0,95.598
370,20,2022,19,Haas F1 Team,9.0,16.0,96.949
371,22,2022,19,AlphaTauri,10.0,15.0,96.808
372,23,2022,19,Williams,13.0,11.0,96.368
373,24,2022,19,Alfa Romeo,12.0,14.0,96.656
374,31,2022,19,Alpine,11.0,18.0,97.068
375,44,2022,19,Mercedes,2.0,5.0,94.947
376,47,2022,19,Haas F1 Team,15.0,19.0,97.111
377,55,2022,19,Ferrari,20.0,1.0,94.356
378,63,2022,19,Mercedes,5.0,6.0,94.988
379,77,2022,19,Alfa Romeo,20.0,10.0,96.319
380,1,2022,20,Red Bull Racing,1.0,1.0,77.775
381,3,2022,20,McLaren,7.0,11.0,79.325
382,4,2022,20,McLaren,9.0,8.0,78.721
383,5,2022,20,Aston Martin,14.0,17.0,80.419
384,6,2022,20,Williams,18.0,20.0,81.167
385,10,2022,20,AlphaTauri,11.0,14.0,79.672
386,11,2022,20,Red Bull Racing,3.0,4.0,78.128
387,14,2022,20,Alpine,19.0,9.0,78.939
388,16,2022,20,Ferrari,6.0,7.0,78.555
389,18,2022,20,Aston Martin,15.0,18.0,80.52
390,20,2022,20,Haas F1 Team,17.0,15.0,79.833
391,22,2022,20,AlphaTauri,20.0,13.0,79.589
392,23,2022,20,Williams,12.0,19.0,80.859
393,24,2022,20,Alfa Romeo,13.0,12.0,79.476
394,31,2022,20,Alpine,8.0,10.0,79.01
395,44,2022,20,Mercedes,2.0,3.0,78.084
396,47,2022,20,Haas F1 Team,16.0,16.0,80.419
397,55,2022,20,Ferrari,5.0,5.0,78.351
398,63,2022,20,Mercedes,4.0,2.0,78.079
399,77,2022,20,Alfa Romeo,10.0,6.0,78.401
400,1,2022,21,Red Bull Racing,6.0,2.0,70.881
401,3,2022,21,McLaren,20.0,14.0,72.14
402,4,2022,21,McLaren,20.0,4.0,71.377
403,5,2022,21,Aston Martin,11.0,13.0,71.678
404,6,2022,21,Williams,16.0,16.0,75.095
405,10,2022,21,AlphaTauri,14.0,12.0,71.675
406,11,2022,21,Red Bull Racing,7.0,9.0,71.456
407,14,2022,21,Alpine,5.0,7.0,71.394
408,16,2022,21,Ferrari,4.0,10.0,70.95
409,18,2022,21,Aston Martin,10.0,15.0,72.21
410,20,2022,21,Haas F1 Team,20.0,1.0,71.41
411,22,2022,21,AlphaTauri,17.0,19.0,76.264
412,23,2022,21,Williams,15.0,11.0,71.631
413,24,2022,21,Alfa Romeo,12.0,17.0,75.197
414,31,2022,21,Alpine,8.0,6.0,71.587
415,44,2022,21,Mercedes,2.0,8.0,71.539
416,47,2022,21,Haas F1 Team,13.0,20.0,76.361
417,55,2022,21,Ferrari,3.0,5.0,70.89
418,63,2022,21,Mercedes,1.0,3.0,71.318
419,77,2022,21,Alfa Romeo,9.0,18.0,75.486
420,1,2022,22,Red Bull Racing,1.0,1.0,83.824
421,3,2022,22,McLaren,9.0,10.0,85.045
422,4,2022,22,McLaren,6.0,7.0,84.769
423,5,2022,22,Aston Martin,10.0,9.0,84.961
424,6,2022,22,Williams,19.0,20.0,86.054
425,10,2022,22,AlphaTauri,14.0,17.0,85.859
426,11,2022,22,Red Bull Racing,3.0,2.0,84.052
427,14,2022,22,Alpine,20.0,11.0,85.096
428,16,2022,22,Ferrari,2.0,3.0,84.092
429,18,2022,22,Aston Martin,8.0,14.0,85.359
430,20,2022,22,Haas F1 Team,17.0,16.0,85.834
431,22,2022,22,AlphaTauri,11.0,12.0,85.219
432,23,2022,22,Williams,13.0,19.0,86.028
433,24,2022,22,Alfa Romeo,12.0,15.0,85.408
434,31,2022,22,Alpine,7.0,8.0,84.83
435,44,2022,22,Mercedes,18.0,5.0,84.508
436,47,2022,22,Haas F1 Team,16.0,13.0,85.225
437,55,2022,22,Ferrari,4.0,4.0,84.242
438,63,2022,22,Mercedes,5.0,6.0,84.511
439,77,2022,22,Alfa Romeo,15.0,18.0,85.892
440,1,2023,1,Red Bull Racing,1.0,1.0,89.708
441,2,2023,1,Williams,12.0,16.0,91.652
442,4,2023,1,McLaren,17.0,11.0,91.381
443,10,2023,1,Alpine,9.0,20.0,92.181
444,11,2023,1,Red Bull Racing,2.0,2.0,89.846
445,14,2023,1,Aston Martin,3.0,5.0,90.336
446,16,2023,1,Ferrari,20.0,3.0,90.0
447,18,2023,1,Aston Martin,6.0,8.0,90.836
448,20,2023,1,Haas F1 Team,13.0,17.0,91.892
449,21,2023,1,AlphaTauri,14.0,19.0,92.121
450,22,2023,1,AlphaTauri,11.0,14.0,91.4
451,23,2023,1,Williams,10.0,15.0,91.461
452,24,2023,1,Alfa Romeo,16.0,13.0,91.473
453,27,2023,1,Haas F1 Team,15.0,10.0,90.809
454,31,2023,1,Alpine,20.0,9.0,90.914
455,44,2023,1,Mercedes,5.0,7.0,90.384
456,55,2023,1,Ferrari,4.0,4.0,90.154
457,63,2023,1,Mercedes,7.0,6.0,90.34
458,77,2023,1,Alfa Romeo,8.0,12.0,91.443
459,81,2023,1,McLaren,20.0,18.0,92.101
460,1,2023,2,Red Bull Racing,2.0,15.0,88.761
461,2,2023,2,Williams,16.0,20.0,128.51
462,4,2023,2,McLaren,17.0,19.0,90.447
463,10,2023,2,Alpine,9.0,10.0,89.357
